timestamp,Open,High,Low,Close,Volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,Returns,Log_Returns,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D,RSI_Signal,BB_Signal,Stoch_Signal,MA_Signal,Weighted_Signal,Final_Signal
2025-05-27 19:00:00,2.335,2.3402,2.3323,2.3347,11434981.4,1748375999999,26716437.88763,46284,6232925.0,14561629.22620,0,-0.00017129887370992414,-0.0001713135470376982,2.3138300000000003,2.321266,2.35369,60.33224700326579,0.006633445500745072,1,0.0034813291159023277,2.352298849735918,2.3138300000000003,2.2753611502640827,71.40718562874275,75.58643276826645,0,0,0,0,0.3,1
2025-05-27 20:00:00,2.3347,2.3366,2.3266,2.3293,10791757.1,1748379599999,25169602.24824,46571,5076998.5,11840094.91726,0,-0.002312930997558693,-0.0023156099540833286,2.315215,2.32183,2.353844,55.793342663320175,0.0062623073512724226,1,0.002488152773143742,2.353817190352421,2.315215,2.2766128096475784,62.9349470499241,69.33470150321763,0,0,0,0,0.3,1
2025-05-27 21:00:00,2.3292,2.3326,2.3129,2.3162,16308486.3,1748383199999,37865033.38713,63491,6747555.9,15667958.01479,0,-0.0056240072124673635,-0.005639881487031522,2.31681,2.3220620000000003,2.3538129999999997,46.62867319209238,0.004855150027882171,1,0.0008647963598027927,2.3527126405714744,2.31681,2.280907359428525,29.719626168223876,54.68725294896356,0,0,0,0,0.3,1
2025-05-27 22:00:00,2.3162,2.3196,2.3041,2.3173,15874978.1,1748386799999,36706035.20347,60918,7963339.9,18413780.85046,0,0.00047491581037917285,0.0004748030735579524,2.318485,2.322248,2.3536845000000004,47.409842141762894,0.003785096284167455,-1,-0.00016420590712953875,2.3510409994471746,2.318485,2.285929000552825,26.55935613682064,39.737976451656195,0,0,0,0,-0.3,-1
2025-05-27 23:00:00,2.3173,2.3203,2.3125,2.3158,7600136.0,1748390399999,17609540.78047,34681,3347711.3,7757457.18273,0,-0.0006473050532947999,-0.0006475146456624901,2.31954,2.32249,2.3535235,46.41225037410909,0.0027839419689019707,-1,-0.0009322881779160186,2.350260312498482,2.31954,2.2888196875015177,23.54124748490906,26.60674326331785,0,0,0,0,-0.3,-1
2025-05-28 00:00:00,2.3157,2.3225,2.308,2.3204,9797674.0,1748393999999,22677949.11767,45648,5137069.8,11891616.69891,0,0.0019863546074789795,0.0019843844137365217,2.32091,2.322162,2.3533,49.89420839675323,0.002334787539917116,-1,-0.0011051540855206987,2.349114673371701,2.32091,2.292705326628299,32.79678068410409,27.632461435277918,0,0,0,0,-0.3,-1
2025-05-28 01:00:00,2.3205,2.3227,2.3081,2.3091,12444579.0,1748397599999,28815851.91809,44585,6092065.7,14107011.37472,0,-0.004869850025857603,-0.004881746383527826,2.321595,2.321534,2.3530105,42.57566364366667,0.0010548541549302293,-1,-0.0019080699764060685,2.347888913744521,2.321595,2.2953010862554786,10.060362173038,22.132796780683705,0,0,0,0,-0.3,-1
2025-05-28 02:00:00,2.3091,2.3126,2.3016,2.3079,14045491.8,1748401199999,32409742.46002,52752,6811937.8,15720901.57001,0,-0.0005196829933740155,-0.0005198180753827257,2.3226000000000004,2.320676,2.352716,41.87324075247816,-5.5690282366516186e-05,-1,-0.0024148915309622513,2.3448804847345004,2.3226000000000004,2.3003195152655005,12.06896551724132,18.308702791461126,0,0,1,0,-0.09999999999999998,0
2025-05-28 03:00:00,2.3079,2.3127,2.3037,2.3117,9449815.1,1748404799999,21802358.68847,37967,5288158.9,12200465.13743,0,0.0016465184800034116,0.001645164454532468,2.32317,2.320016,2.352286,44.96943524545028,-0.0006220064052357976,-1,-0.002384966123065226,2.3436498535152057,2.32317,2.3026901464847946,21.398305084745697,14.509210925008327,0,0,0,0,-0.3,-1
2025-05-28 04:00:00,2.3116,2.3152,2.3035,2.3119,9563043.4,1748408399999,22082124.07351,36400,5603845.4,12939496.29572,0,8.65164164900456e-05,8.651267416073151e-05,2.3230399999999998,2.319444,2.351901,45.135080102112155,-0.0010426585652587583,-1,-0.0022444946264705496,2.3437698239260314,2.3230399999999998,2.302310176073968,21.822033898304973,18.429768166763985,0,0,0,0,-0.3,-1
